"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000025467"	74.6424885349498	-1.4230047074565	0.370379220279849	-3.84202090598202	0.000122025439719904	0.0119881465714857
"ENSMUSG00000035093"	613.738333701205	-0.60488656911453	0.157530664546281	-3.83980205286839	0.000123133550647015	0.0119881465714857
"ENSMUSG00000051483"	650.524676520602	-0.686702120037801	0.178991205170958	-3.83651319282373	0.000124793495133316	0.0119881465714857
"ENSMUSG00000026094"	236.839075216391	-1.18992498200059	0.310271485971619	-3.83510904417893	0.000125508599168495	0.0119881465714857
"ENSMUSG00000036427"	3346.43858145606	-0.58532712620412	0.152676398452215	-3.83377609203505	0.000126191016541954	0.0119881465714857
"ENSMUSG00000013418"	1569.24863809716	-0.967834216087919	0.252810858082914	-3.82829370315455	0.000129034721584311	0.0120421137003317
"ENSMUSG00000023073"	64.4868881037028	-2.14624318274637	0.560692027476979	-3.82784679925647	0.000129269172603873	0.0120421137003317
"ENSMUSG00000021662"	302.350639574023	1.10575261161049	0.289115713768421	3.82460225768354	0.000130983373301439	0.0120844756425703
"ENSMUSG00000020592"	1280.74703367549	-0.4833672988973	0.126769285185119	-3.81296856088954	0.000137307584440619	0.0124686286457682
"ENSMUSG00000028228"	1261.5534374382	0.731222274319484	0.191934210651179	3.80975476877546	0.000139104699188942	0.0124686286457682
"ENSMUSG00000027377"	1031.03785997063	-0.795322554006196	0.208818666946447	-3.80867556352212	0.000139713130889394	0.0124686286457682
"ENSMUSG00000068246"	54.4707128142937	-1.65150325971192	0.43389182523528	-3.8062557615977	0.000141086484336942	0.0124686286457682
"ENSMUSG00000042745"	316.23170268218	-1.19075501367307	0.313239484213824	-3.80142055418605	0.000143868869987303	0.0124686286457682
"ENSMUSG00000020740"	125.982978848296	-0.931507252159692	0.245042187727951	-3.80141583290899	0.000143871611892787	0.0124686286457682
"ENSMUSG00000027901"	529.550052710345	1.0229076681624	0.269190248856335	3.79994324648929	0.000144729229449766	0.0124686286457682
"ENSMUSG00000012350"	1862.0926562924	0.714620658728463	0.188129691458792	3.79855329154671	0.000145543137918295	0.0124686286457682
"ENSMUSG00000032754"	194.831273058512	0.821388820275581	0.216990662091995	3.7853648279452	0.000153483243777475	0.0130291991501792
"ENSMUSG00000002028"	266.548509903694	0.837623654736093	0.221513844081308	3.78136029470301	0.000155973744334207	0.0130291991501792
"ENSMUSG00000026342"	698.477387533445	-0.836555074436862	0.221248659981301	-3.78106278477602	0.000156160281633205	0.0130291991501792
"ENSMUSG00000044393"	2721.32472472849	-0.525768453477979	0.139454870371125	-3.77016917429113	0.00016313692479113	0.0134939551152663
"ENSMUSG00000033004"	197.757007894764	0.97561406337173	0.25942607154066	3.76066313450235	0.000169463515514129	0.0138684190096954
"ENSMUSG00000020990"	117.65800135741	1.71586896842147	0.456636088030328	3.7576289158896	0.000171531001721548	0.0138684190096954
"ENSMUSG00000068874"	3332.67270737104	-1.00366974197815	0.26726713874613	-3.7553054471523	0.000173130204508678	0.0138684190096954
"ENSMUSG00000041737"	1373.82724410045	-0.743142293837945	0.197915327210969	-3.7548496334788	0.000173445573857577	0.0138684190096954
"ENSMUSG00000000275"	1116.84639259787	-0.51151850819352	0.136475886906438	-3.74805044164464	0.000178214419029393	0.0140911867751156
"ENSMUSG00000002221"	174.355891455796	0.769942171514072	0.205609196064631	3.7446874276579	0.000180618499677618	0.0140911867751156
"ENSMUSG00000021250"	146.919651759701	-0.865787370711643	0.231318526733585	-3.74283626537528	0.00018195479767977	0.0140911867751156
"ENSMUSG00000032359"	1050.11015864258	0.9720572140719	0.259791998313054	3.74167495682662	0.000182797849843864	0.0140911867751156
"ENSMUSG00000002325"	175.237157542702	-0.832381716767533	0.222525696608385	-3.74060941929063	0.000183574606241735	0.0140911867751156
"ENSMUSG00000024360"	1279.77136477892	0.867921557773203	0.232537844292416	3.73238842225522	0.00018967272198448	0.0144437283130245
"ENSMUSG00000029246"	166.591628874955	0.869177474063216	0.233594105667099	3.72088786907108	0.000198523577757151	0.0146184302808831
"ENSMUSG00000028967"	269.713717031225	-1.03361829375797	0.27785431026601	-3.72000093418889	0.000199222041060196	0.0146184302808831
"ENSMUSG00000072214"	1741.43431765881	-0.670959249796121	0.180386496929652	-3.71956471918064	0.000199566407784741	0.0146184302808831
"ENSMUSG00000040808"	36.5768550741214	1.60878521170191	0.432567264832223	3.71915616944777	0.00019988944147119	0.0146184302808831
"ENSMUSG00000026062"	1311.49249818549	-1.06205588285641	0.285680586386911	-3.71763407618472	0.000201097265665029	0.0146184302808831
"ENSMUSG00000025647"	522.178997810241	-0.719554511553234	0.193552443989951	-3.71762038608303	0.000201108160195577	0.0146184302808831
"ENSMUSG00000021335"	29.1118264898831	1.98416397851619	0.533758167903324	3.7173463523945	0.000201326351826115	NA
"ENSMUSG00000078853"	19.9279109678205	-2.66010029535246	0.716034908817377	-3.71504274804974	0.000203169344666509	NA
"ENSMUSG00000046733"	946.878015647916	-0.651119169122622	0.175347195232328	-3.71331385289577	0.000204562941230045	0.0147564538207365
"ENSMUSG00000029071"	449.525703041781	0.728799501513001	0.196403964864645	3.71071684838575	0.000206673171776173	0.0147564538207365
"ENSMUSG00000034903"	214.054163448184	0.763712271945956	0.205906285964687	3.70902844645031	0.000208056054697544	0.0147564538207365
"ENSMUSG00000025791"	292.817698319848	-0.792590299108348	0.214017317775049	-3.70339329241305	0.000212734686681729	0.0147564538207365
"ENSMUSG00000116466"	292.817698319848	-0.792590299108348	0.214017317775049	-3.70339329241305	0.000212734686681729	0.0147564538207365
"ENSMUSG00000002032"	115.417470652006	1.22712836974736	0.331413354518521	3.70271249790201	0.000213306563899671	0.0147564538207365
"ENSMUSG00000026482"	122.429095186635	1.01078036041791	0.273101223240093	3.70111985741381	0.000214650048785322	0.0147564538207365
"ENSMUSG00000024953"	928.955325157282	-0.604461550210404	0.163352956361669	-3.70034043872524	0.000215310425732476	0.0147564538207365
"ENSMUSG00000000078"	985.686415084843	-0.832420124613415	0.225115472607347	-3.69774727153182	0.000217521292723202	0.0148022468346037
"ENSMUSG00000055407"	416.317169240207	0.784264204102572	0.212874413886597	3.68416377423531	0.000229454681560612	0.0154090995007024
"ENSMUSG00000045679"	84.5018304927904	-1.1072355403606	0.300556947757146	-3.68394591648322	0.000229650987868728	0.0154090995007024
"ENSMUSG00000001642"	2164.87990315599	3.17397127130087	0.862149370396769	3.68146330587724	0.000231899168309435	0.0154518924995071
"ENSMUSG00000059412"	8.09839024906945	5.37687228231163	1.46186799495363	3.67808331591675	0.00023499320566403	NA
"ENSMUSG00000025086"	68.0609373623425	1.31848574737305	0.358965754885726	3.67301261869055	0.000239707641360982	0.0158620332335078
"ENSMUSG00000068547"	3868.13035035922	-0.893647680545434	0.243420453618269	-3.67121031639703	0.000241404585724604	0.015864910959093
"ENSMUSG00000032690"	93.1834238737933	-1.4767307077517	0.403399217411339	-3.66071782991563	0.000251509623827967	0.0164165635416962
"ENSMUSG00000021831"	500.630647349584	-0.847690215050554	0.231702118043096	-3.65853459696422	0.000253661502281558	0.0164451494215645
"ENSMUSG00000008398"	152.279362569006	1.43941833775842	0.393681595732381	3.6563008110161	0.000255881069542454	0.0164777104849654
"ENSMUSG00000027875"	477.516790525195	-1.05144743392734	0.287977870049911	-3.65113969953701	0.000261079172484684	0.016700364399937
"ENSMUSG00000040033"	255.621653573648	-0.656605036351869	0.180646898699078	-3.63474292158009	0.000278257963410783	0.0176813586683872
"ENSMUSG00000006711"	68.9814402560975	1.67397861963629	0.461669205551946	3.62592652814036	0.000287927217241109	0.018175405588345
"ENSMUSG00000002992"	26.2029770780156	-2.21960174523255	0.612909543529261	-3.62141814997956	0.00029299250560541	NA
"ENSMUSG00000040430"	66.1722898815388	2.42189275037903	0.668822821222235	3.62112755954283	0.000293321838891789	0.018291122639091
"ENSMUSG00000049553"	213.105595380367	0.943757984755971	0.260641382125038	3.62090615489148	0.000293572994936948	0.018291122639091
"ENSMUSG00000091705"	674.237717592414	-1.11954216047318	0.309728639680956	-3.61459037700353	0.000300822866030386	0.0186219058036229
"ENSMUSG00000029772"	1523.45717231199	-0.712821113332903	0.197697215679514	-3.60562039724654	0.000311408070618601	0.0190363409261407
"ENSMUSG00000057143"	129.154150349344	-0.951124426941101	0.263794132777084	-3.60555565405557	0.000311485724377707	0.0190363409261407
